image,kind,structure,concentration
039a8bdc-f51d-40c5-a37b-428e43298e7a,MCF-7,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,0.06
03bb9154-a933-4b51-824c-41390518f6c4,MCF-7,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\\C(=C\\c3csc(C)n3)\\C,0.01
03c55039-7267-4405-958c-a4d95409f41f,MCF-7,C[C@H]1C\\C=C\\[C@H]2[C@H](O)C(=C)[C@@H](C)[C@H]3[C@@H](Cc4ccccc4)NC(=O)C23C(OC(=O)C)\\C=C\\C(C)(O)C1=O,10.0
03c8f2fb-996f-4aef-ab2d-aa51423480b4,MCF-7,CS(=O)C,0.0
03ded8a3-1ea6-417a-ba3a-66f9924197d0,MCF-7,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(=O)C)cc1,10.0
03edef9e-456f-4951-ab0d-5c0fd71e18d9,MCF-7,CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,0.01
03f897aa-f4a5-443c-9889-e83262510d0f,MCF-7,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,10.0
040d8d56-e9dd-4b9b-8670-48851bb12581,MCF-7,CCOC(=O)C1=C(C)NC(=S)NC1c2cccc(O)c2,0.03
0415cbe1-35a1-4832-9964-d6f740a7b4d8,MCF-7,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,0.02
04228c11-9b4a-444b-82e3-951555ce1039,MCF-7,ClCCN(CCCl)P1(=O)NCCCO1,0.15
04251543-1afe-4f97-9712-8fb806a3736d,MCF-7,NC1=NC(=O)c2ncn(COCCO)c2N1,5.0
04252a52-1a0b-4b68-bd7a-3f8532984041,MCF-7,[O-][N+](=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,1.0
04366238-d610-4c63-afcf-d12e486a106b,MCF-7,O=C1O[Pt]OC(=O)C12CCC2,0.06
0441c366-51d9-496c-bef5-7cd953661b5f,MCF-7,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,6.0
0443b914-4b35-439b-9dad-f71093ae2ffe,MCF-7,CS(=O)C,0.0
0455b0ab-afa9-4f7a-aaed-aa4c603fae77,MCF-7,COC12C3NC3CN1C4=C(C2COC(=O)N)C(=O)C(=C(C)C4=O)N,0.01
0459c736-5016-4de1-8f71-113f943276d7,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
046d8a43-da99-431a-a638-6fd43cdd1306,MCF-7,N\\C(=C(\\C#N)/C(=C(\\N)/Sc1ccccc1N)/C#N)\\Sc2ccccc2N,30.0
04872bf7-88b2-4dc2-8911-fab75ba0cfa4,MCF-7,CCOC(=O)c1cnc2oc3ccc(O)cc3c2c1c4ccccc4,0.3
0498c4a1-11d8-483b-b401-429dc214c262,MCF-7,Nc1ccc(cc1N)c2ccc(N)c(N)c2,0.03
04995ec3-01a1-464e-90bd-7ea03d70446d,MCF-7,CCOC(=O)c1cnc2oc3ccc(O)cc3c2c1c4ccccc4,0.03
049fac8c-14a1-4ff6-91f3-e0e2843d3795,MCF-7,COc1cc(OC[C@H]2CCCN2)c3c(Nc4cnn(CC(=O)Nc5cccc(F)c5F)c4)ncnc3c1,10.0
04a9e313-4f46-467a-9217-da57a057f738,MCF-7,COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3,0.01
04ac7f5c-078c-44ce-9311-c97f08a072e2,MCF-7,CCOc1cc(OC[C@H]2CCCN2)c3c(Nc4cnn(CC(=O)Nc5cccc(F)c5F)c4)ncnc3c1,0.01
04af4434-5231-4f64-8027-bad450fa2858,MCF-7,NC(=O)NO,30.0
04b3f2c4-230d-4ff8-8081-080198dd02b1,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
04b9ddde-a9b3-4526-912e-dd4f8e19cff6,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
04be7c75-1eec-4761-80bf-e2d45b08067e,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.003
04bf610e-2cbd-4a31-9c40-eb954993bd5a,MCF-7,NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]4O[C@H](CN)[C@@H](O)[C@H](O)[C@H]4N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,1.0
04bf8781-1a82-4314-9f0b-a3eacdbd5e80,MCF-7,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,0.05
04c65eeb-2da3-42c2-8525-d6e36ef8ea7b,MCF-7,CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,0.003
04cadff6-0b48-464e-b3d6-9b3898e70edb,MCF-7,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3[C@H](O)CC4C[C@H](O)CCC4(C)C3C[C@H](O)C12C,0.0083
04d8c0a2-96a5-44d0-9653-d9dbe38a783b,MCF-7,CS(=O)C,0.0
04dc9fc2-955d-4447-9d25-c25e7aabf9a6,MCF-7,O=C1c2ccccc2c3n[nH]c4cccc1c34,15.0
04fcc068-79ad-4dd7-b2d7-1a2025ee190f,MCF-7,[Na+].[F-],5.0
0503dc50-ecaf-4774-b662-bbb48fd30405,MCF-7,CS(=O)C,0.0
050ec4be-382b-47ec-beab-344f379622a6,MCF-7,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,0.03
051bf238-ff8d-4ace-8289-c5806843a04c,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
05220820-2a6b-47d5-aa8f-8fc4f3911958,MCF-7,CS(=O)C,0.0
0527be17-2196-4ccb-83b1-40e46284f629,MCF-7,NC1=NC(=O)N(C=C1)C2OC(CO)C(O)C2O,0.03
052aa241-30f4-4af4-9420-f8f0ecb1b357,MCF-7,CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO,1.0
05336c5a-e1ed-481b-9c41-74e4a8d65f08,MCF-7,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,0.03
05559cb2-5f01-4b40-acdc-a94c0bd406af,MCF-7,CS(=O)C,0.0
056b1bae-3d60-405f-b4e3-8b6495491b6b,MCF-7,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,0.05
056f9011-7fd6-4cc4-a01d-1f9464b381aa,MCF-7,O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4,0.002
057e458a-3c37-43f0-86fd-122875ca5921,MCF-7,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,5.0
059a6f0e-3ce1-4091-85ac-a07123dd738a,MCF-7,NC1=NC(=O)c2ncn(COCCO)c2N1,0.0015
05b559bf-22bc-42b2-899d-4d674c03b11d,MCF-7,NC(=O)NO,30.0
05b63c79-63e6-40b5-8bcf-7db233ba8cd6,MCF-7,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(=O)C)cc1,3.0
05b892c4-b6c9-476d-8ec4-01bb11e1e498,MCF-7,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2,0.15
05bbd603-4fca-43c2-a4de-9e9eb0da8c1c,MCF-7,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3[C@H](O)CC4C[C@H](O)CCC4(C)C3C[C@H](O)C12C,0.0083
05bc3c0b-d7e9-405a-8893-4884bf987f56,MCF-7,CCOC(=O)C1=C(C)NC(=S)NC1c2cccc(O)c2,0.3
05c5872f-4255-4fb3-bbe3-8f28964ae50a,MCF-7,O=C1C=C(Oc2c1cccc2c3ccccc3)N4CCOCC4,0.006
05d5b308-4690-4016-937d-03649882837c,MCF-7,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,0.01
05d7c38c-ff5a-435a-9005-939b40e2451e,MCF-7,CS(=O)C,0.0
05d7cd29-5c68-46f8-bacb-47980d65d145,MCF-7,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,1.0
05f267d7-e72a-46e0-bd91-d886440e0265,MCF-7,CS(=O)C,0.0
05f8cba5-5797-4b27-bd8f-839b67334440,MCF-7,CS(=O)C,0.0
060251df-e220-4866-8d82-ec15c9a57dd6,MCF-7,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,10.0
06051073-518a-4968-abee-343314ddafcf,MCF-7,C[C@@H](C[C@H](O)[C@H]1O[C@@H]2CC[C@@]3(CC[C@@H](O3)\\C=C\\[C@@H](C)[C@@H]4CC(=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)C)O[C@H]2[C@H](O)C1=C)[C@H]6O[C@@]7(CCCCO7)CC[C@H]6C,5.9999999999999995e-05
060daad6-195f-4afa-9627-fbdcca70ff17,MCF-7,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,1.0
0610d475-3daa-4dc7-a7c1-d9d8dc76bcb3,MCF-7,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,0.1
06180175-c1cd-4530-a4d0-2cb1b070df9c,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
061fcb0d-4c5c-4192-88a2-4b6b2e50f2ad,MCF-7,COc1cc(cc(OC)c1OC)[C@H]2[C@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24,0.003
